X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
400142,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400143,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400144,0.05859375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400145,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400146,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400147,0.046875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,0,Mosaic,Euploid,Mosaic Aneuploid
400148,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400149,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400150,0.67578125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,3,3,Mosaic,Mosaic,Mosaic Aneuploid
400151,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400152,0.1953125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400153,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400154,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400155,0.1015625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
400156,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400157,0.5546875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,3,2,Mosaic,Mosaic,Mosaic Aneuploid
400158,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400159,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400160,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400161,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400162,0.23046875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
400163,0.14453125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400164,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400165,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400166,0.2421875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400167,0.35546875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
400168,0.12890625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,1,Mosaic,Mosaic,Mosaic Aneuploid
400169,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400170,0.13671875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400171,0.1796875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400172,0.08203125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400173,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400174,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400175,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400176,0.171875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400177,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400178,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400179,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400180,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400181,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400182,0.05078125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400183,0.09375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400184,0.62109375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
400185,0.19921875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400186,0.1328125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
400187,0.09765625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400188,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400189,0.18359375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400190,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400191,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400192,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400193,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400194,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400195,0.11328125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,0,Mosaic,Euploid,Mosaic Aneuploid
400196,0.1171875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400197,0.09765625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
