"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"806",6,0.5881641,0.3071072,0.05954539,0,0.26,0.27,0.47
"807",7,0.6108594,0.4139044,0.05350164,0,0.29,0.27,0.44
"808",8,0.5573828,0.4658284,0.02047724,0,0.37,0.13,0.5
"809",9,0.5357422,0.1944661,0.061447,0,0.36,0.31,0.33
"810",10,0.4971094,0.43506,0.02593414,0,0.35,0.26,0.39
"811",1,0.5735547,0.5122232,0.02348849,0,0.4,0.09,0.51
"812",2,0.6051562,0.4669969,0.02150205,0,0.31,0.12,0.57
"813",3,0.4937891,0.3710291,0.03156013,0,0.36,0.26,0.38
"814",4,0.4314844,0.2238445,0.03670021,0,0.46,0.25,0.29
"815",5,0.5299609,0.2660141,0.05054077,0,0.35,0.29,0.36
"816",6,0.6734375,0.4603053,0.04546494,0,0.27,0.17,0.56
"817",7,0.6815234,0.4300286,0.06585811,0,0.26,0.19,0.55
"818",8,0.528125,0.4388306,0.02238184,0,0.35,0.19,0.46
"819",9,0.5927344,0.2626213,0.06470327,0,0.25,0.31,0.44
"820",10,0.5302344,0.4048293,0.03557098,0,0.38,0.21,0.41
"821",1,0.5061719,0.4861323,0.02314799,0,0.4,0.16,0.44
"822",2,0.548125,0.4773857,0.02558443,0,0.36,0.14,0.5
"823",3,0.603125,0.5233722,0.02315266,0,0.32,0.16,0.52
"824",4,0.5889844,0.4397768,0.02634336,0,0.28,0.2,0.52
"825",5,0.4804688,0.4151735,0.02716221,0,0.45,0.19,0.36
"826",6,0.5422656,0.3400908,0.0285323,0,0.31,0.27,0.42
