"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"2106",0.6063936,0.006241156,1,0.29,0.08,0.63
"2107",0.3096784,0.010048706,1,0.53,0.13,0.34
"2108",0.292838,0.009556501,1,0.56,0.2,0.24
"2109",0.2734046,0.014360612,1,0.35,0.37,0.28
"2110",0.2964353,0.025431115,1,0.25,0.39,0.36
"2111",0.5740637,0.006986292,1,0.34,0.13,0.53
"2112",0.4855089,0.039401647,1,0.1,0.4,0.5
"2113",0.5193217,0.045351196,1,0.08,0.37,0.55
"2114",0.4372844,0.021763857,1,0.17,0.37,0.46
"2115",0.5700442,0.013769902,1,0.21,0.17,0.62
"2116",0.4015179,0.022971951,1,0.18,0.36,0.46
"2117",0.4717403,0.025921988,1,0.15,0.34,0.51
"2118",0.610259,0.014286146,1,0.28,0.15,0.57
"2119",0.4573557,0.017664042,1,0.23,0.26,0.51
"2120",0.5792795,0.001528507,1,0.5,0.03,0.47
"2121",0.4632326,0.010595643,1,0.38,0.13,0.49
"2122",0.4135431,0.0229334333,1,0.17,0.31,0.52
"2123",0.4082636,0.0080465779,1,0.39,0.18,0.43
"2124",0.3282116,0.0092201144,1,0.44,0.19,0.37
"2125",0.3955996,0.0211367493,1,0.26,0.4,0.34
"2126",0.3926251,0.0185548044,1,0.25,0.34,0.41
"2127",0.3773503,0.0117524075,1,0.35,0.27,0.38
"2128",0.4705199,0.0243680391,1,0.2,0.3,0.5
"2129",0.3907825,0.0209687999,1,0.22,0.29,0.49
"2130",0.4323599,0.0006952819,1,0.47,0.01,0.52
"2131",0.3593359,0.022335288,1,0.27,0.39,0.34
"2132",0.569948,0.011728439,1,0.28,0.12,0.6
"2133",0.4481538,0.0102275,1,0.43,0.14,0.43
"2134",0.7056379,0.016814446,1,0.18,0.19,0.63
"2135",0.4412386,0.026823525,1,0.17,0.37,0.46
"2136",0.2966791,0.00391783,1,0.67,0.08,0.25
"2137",0.5015547,0.029318445,1,0.14,0.41,0.45
"2138",0.3361522,0.017426311,1,0.31,0.32,0.37
"2139",0.2783908,0.009241525,1,0.54,0.13,0.33
"2140",0.4956133,0.032734256,1,0.16,0.37,0.47
"2141",0.6666132,0.020387757,1,0.18,0.26,0.56
"2142",0.5199893,0.013753326,1,0.35,0.21,0.44
"2143",0.3912914,0.003284818,1,0.5,0.07,0.43
"2144",0.2577354,0.011266567,1,0.46,0.25,0.29
"2145",0.4635148,0.009278583,1,0.36,0.14,0.5
"2146",0.5964407,0.00936159,1,0.29,0.14,0.57
"2147",0.5668008,0.018263611,1,0.21,0.23,0.56
"2148",0.459024,0.002268119,1,0.5,0.08,0.42
"2149",0.5129381,0.019804991,1,0.27,0.27,0.46
"2150",0.32645,0.007820225,1,0.38,0.17,0.45
"2151",0.2521934,0.026938767,1,0.28,0.43,0.29
"2152",0.5390731,0.022724866,1,0.26,0.19,0.55
"2153",0.6943702,0.006850044,1,0.27,0.08,0.65
"2154",0.3711888,0.006917852,1,0.5,0.15,0.35
"2155",0.3941178,0.014039479,1,0.51,0.14,0.35
"2156",0.5752491,0.002046851,1,0.4,0.02,0.58
"2157",0.5544118,0.019243589,1,0.28,0.25,0.47
"2158",0.4040413,0.00239305,1,0.55,0.04,0.41
"2159",0.4122336,0.021873019,1,0.23,0.27,0.5
"2160",0.5439999,0.001529224,1,0.41,0.02,0.57
"2161",0.517996,0.029593902,1,0.13,0.34,0.53
"2162",0.2893481,0.013484756,1,0.42,0.34,0.24
"2163",0.6427841,0.006223499,1,0.24,0.11,0.65
"2164",0.6384812,0.024855957,1,0.14,0.25,0.61
"2165",0.4806842,0.025059924,1,0.22,0.3,0.48
"2166",0.2656738,0.003393399,1,0.63,0.05,0.32
