"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"373.2",0.362679145012081,0.080067949184029,0,618,382,0.2
"445",0.338245422295542,0.0863038866231104,0,649,351,0.2
"448",0.383917437287114,0.0779827337744458,0,623,377,0.2
"474",0.393851442550886,0.0764285168192398,0,611,389,0.2
"318",0.368020895945711,0.0791904642430526,0,647,353,0.2
"291.1",0.30046810782592,0.0858184564666425,0,689,311,0.2
"351.1",0.354645908660219,0.0786691008455659,0,628,372,0.2
"190",0.339589337941086,0.0862995866418808,0,647,353,0.2
"222",0.373526896671523,0.0718482263091842,0,595,405,0.2
"154.1",0.395722923887533,0.0699928869835019,0,620,380,0.2
"200.3",0.337033498234288,0.0765661792617149,0,651,349,0.2
"339",0.360402949450952,0.0798815793417679,0,615,385,0.2
"415",0.39143704425398,0.0689672743006007,0,627,373,0.2
"494.1",0.424617694700373,0.0651462721196758,0,598,402,0.2
"252",0.32799910607436,0.0814594850599219,0,676,324,0.2
"397.1",0.344141776234261,0.0885812457298711,0,654,346,0.2
"443",0.338495055142818,0.0810704371907032,0,666,334,0.2
"207",0.333355448193725,0.0783536320336324,0,667,333,0.2
"331",0.368766600188175,0.0776648065943888,0,645,355,0.2
"38",0.352056534220751,0.0725751811299736,0,642,358,0.2
"325.2",0.38038873998753,0.0745127786715536,0,594,406,0.2
"311.1",0.344666481039189,0.082500398616626,0,661,339,0.2
"387.3",0.378876099315956,0.0671757732109551,0,628,372,0.2
"28.1",0.385465623194034,0.0748539254347503,0,629,371,0.2
"363.1",0.387660104096535,0.077373617405374,0,574,426,0.2
"18.2",0.381121492766262,0.0743880493746465,0,629,371,0.2
"71",0.267901745870837,0.085683444179928,0,727,273,0.2
"284",0.369624441343546,0.0735654497688863,0,615,385,0.2
"378",0.336884776258578,0.0778103197227281,0,669,331,0.2
"159",0.381786001727227,0.0659811947550908,0,629,371,0.2
"312",0.371825403705178,0.0833843366862895,0,636,364,0.2
"384.1",0.393435171250338,0.0784902756288504,0,584,416,0.2
"58",0.369042999899556,0.0748294758551691,0,644,356,0.2
"121",0.355266799368348,0.080850227453418,0,667,333,0.2
"331.1",0.368766600188175,0.0776648065943888,0,645,355,0.2
"145",0.33942166464044,0.083864520402444,0,697,303,0.2
"47",0.421942277197983,0.0727511279758176,0,591,409,0.2
"518.2",0.391244304124465,0.0730149772241544,0,570,430,0.2
"75",0.386695491091447,0.0727783071929754,0,625,375,0.2
"122.1",0.364521764967162,0.0807620139355894,0,626,374,0.2
"446.1",0.315732235199359,0.0821004550165634,0,706,294,0.2
"520.1",0.368871069895648,0.0714655295022625,0,591,409,0.2
"171.2",0.41916406971175,0.0710616088666838,0,585,415,0.2
"384.2",0.393435171250338,0.0784902756288504,0,592,408,0.2
"81.2",0.334980902812564,0.0791354326459214,0,672,328,0.2
"384.3",0.393435171250338,0.0784902756288504,0,604,396,0.2
"242",0.390031162315956,0.073387206729279,0,614,386,0.2
"428",0.340971183324724,0.0800155777571803,0,654,346,0.2
"381.1",0.413434349288978,0.0691459800060528,0,608,392,0.2
"223",0.312879040623385,0.0791696318096776,0,708,292,0.2
"35.2",0.355600809732075,0.0718813105704986,0,622,378,0.2
"68.3",0.346533850786695,0.0802785895904701,0,640,360,0.2
"260.1",0.345283211695871,0.0762919837485936,0,640,360,0.2
"55.1",0.319480670933758,0.0856968659522753,0,648,352,0.2
"67.3",0.369729864041709,0.0771042940453037,0,602,398,0.2
"407",0.32751747460004,0.0835433751297152,0,683,317,0.2
